"idordenfabricacion","numordenfabricacion","creacion","estado"
14433,"5506","2017-02-03 00:00:00","incompleto"
14434,"5525","2017-02-27 00:00:00","incompleto"
14435,"5553","2017-03-14 00:00:00","incompleto"
14436,"5622","2017-05-03 00:00:00","incompleto"
14437,"5769","2017-09-14 00:00:00","incompleto"
14438,"5853","2017-12-01 00:00:00","incompleto"
14439,"5731","2017-08-21 00:00:00","incompleto"
14440,"5757","2017-09-07 00:00:00","incompleto"
14441,"5758","2017-09-07 00:00:00","incompleto"
14442,"5759","2017-09-07 00:00:00","incompleto"
14443,"5783","2017-10-04 00:00:00","incompleto"
14444,"5784","2017-10-04 00:00:00","incompleto"
14445,"5785","2017-10-04 00:00:00","incompleto"
14446,"5786","2017-10-04 00:00:00","incompleto"
14447,"5790","2017-10-12 00:00:00","incompleto"
14448,"5809","2017-10-24 00:00:00","incompleto"
14449,"5813","2017-10-31 00:00:00","incompleto"
14450,"5819","2017-11-06 00:00:00","incompleto"
14451,"5826","2017-11-08 00:00:00","incompleto"
14452,"5830","2017-11-10 00:00:00","incompleto"
14453,"5831","2017-11-13 00:00:00","incompleto"
14454,"5837","2017-11-15 00:00:00","incompleto"
14455,"5839","2017-11-17 00:00:00","incompleto"
14456,"5843","2017-11-20 00:00:00","incompleto"
14457,"5845","2017-11-27 00:00:00","incompleto"
14458,"5847","2017-11-29 00:00:00","incompleto"
14459,"5848","2017-11-28 00:00:00","incompleto"
14460,"5849","2017-11-28 00:00:00","incompleto"
14461,"5852","2017-11-30 00:00:00","incompleto"
14462,"5876","2017-12-14 00:00:00","incompleto"
14463,"5859","2017-12-04 00:00:00","incompleto"
14464,"5863","2017-12-04 00:00:00","incompleto"
14465,"5871","2017-12-14 00:00:00","incompleto"
14466,"5872","2017-12-14 00:00:00","incompleto"
14467,"5873","2017-12-14 00:00:00","incompleto"
14468,"5879","2017-12-14 00:00:00","incompleto"
14469,"5882","2017-12-19 00:00:00","incompleto"
14470,"5885","2017-12-21 00:00:00","incompleto"
14471,"5886","2017-12-21 00:00:00","incompleto"
14472,"5887","2017-12-26 00:00:00","incompleto"
14473,"5888","2017-12-26 00:00:00","incompleto"
14474,"5889","2017-12-27 00:00:00","incompleto"
14475,"5890","2017-12-27 00:00:00","incompleto"
14476,"5892","2017-12-29 00:00:00","incompleto"
14477,"5893","2017-12-29 00:00:00","incompleto"
14478,"5894","2017-12-29 00:00:00","incompleto"
14479,"5895","2018-01-02 00:00:00","incompleto"
14480,"5896","2018-01-02 00:00:00","incompleto"
14481,"5897","2018-01-03 00:00:00","incompleto"
14482,"5898","2018-01-05 00:00:00","incompleto"
14483,"5899","2018-01-08 00:00:00","incompleto"
14484,"5900","2018-01-09 00:00:00","incompleto"
14485,"5901","2018-01-10 00:00:00","incompleto"
14486,"5902","2018-01-10 00:00:00","incompleto"
14487,"5903","2018-01-10 00:00:00","incompleto"
14488,"5904","2018-01-11 00:00:00","incompleto"
14489,"5905","2018-01-11 00:00:00","incompleto"
14490,"5906","2018-01-15 00:00:00","incompleto"
14491,"5907","2018-01-16 00:00:00","incompleto"
14492,"5909","2018-01-17 00:00:00","incompleto"
14493,"5910","2018-01-18 00:00:00","incompleto"
14494,"5911","2018-01-19 00:00:00","incompleto"
14495,"2","2018-01-19 00:00:00","incompleto"
