Codigo,Descripcion,Moldeo,Fusion,Quiebre,Terminacion,TT,Mtza,CC,Stock,Solicitado
P01020860034,PLACA DESGASTE P46 (Proy Los Colorados),,,,,1,,,,1
P01020840016,INSERTO 233595,,,,60,,,,,60
P01020860031,PLACA DESGASTE P79 (Proy Los Colorados),,,,,2,,,,2
P01020860033,PLACA DESGASTE P77 (Proy Los Colorados),,,,,4,,,,4
P01020840015,INSERTO 233594,,,,64,,,,,64
P01166640002,Inserto 23240R,,,,49,,,,,49
P01010437009,FORRO FRII 765,1,,,,,,,,1
P01010437009,FORRO FRII 765,,,,4,,,,,4
P01020890251,Placa Desgaste CF-09 OP (Proy 39),,,,,1,,,,1
P01020890251,Placa Desgaste CF-09 OP (Proy 39),,,1,,,,,,1
P01020890252,Placa Desgaste CF-10 MO (Proy 39),,,,,,,,,0
P01020890253,Placa Desgaste CF-10 OP (Proy 39),,,,,2,,,,2
P01020860037,PLACA DESGASTE P2 (Proy Los Colorados),,,,,136,,,,136
P01020860037,PLACA DESGASTE P2 (Proy Los Colorados),,,,52,,,,,52
P01020766003,PROTECTOR TAPA CANICA ER 36 C,,,,3,,,,,3
P01020789002,YUNQUE ANV 70000,,,,22,,,,,22
P01020860040,BARRA DESGASTE B5 (Proy Los Colorados),,,,21,,,,,21
P01010212012,BOWL HP200,,,,1,,,,,1
P01010612001,BOWL HP300,,,,1,,,,,1
P01010212011,BOWL HP4800 S48/40,,,,3,,,,,3
P01010212003,BOWL LINER 4 1/4 STD,,,,3,,,,,3
P01010212007,BOWL LINER SYMON 3' STD,,,1,,,,,,1
P01010212008,BOWL LINER SYMON 4' STD,,,1,,,,,,1
P01010212008,BOWL LINER SYMON 4' STD,,,,4,,,,,4
P01020721013,"CORAZA COLGANTE ""C""",,,,2,,,,,2
P01020721014,"CORAZA COLGANTE ""D""",,,,2,,,,,2
P01010225013,CUÑA LATERAL DERECHA PEX 250x1000,,,,5,,,,,5
P01010225014,CUÑA LATERAL IZQUIERDA PEX 250x1000,,,,5,,,,,5
P02031828002,DESMONTADOR ARO 51,,,,3,,,,,3
P02031828001,DESMONTADOR ARO 51 A,,,,5,,,,,5
P02031826004,DESMONTADOR ARO 57 A,,,,2,,,,,2
P02031828003,DESMONTADOR BAILAC ARO 63,,,,1,,,,,1
P02031828003,DESMONTADOR BAILAC ARO 63,,,,1,,,,,1
P01020840007,INSERTO 23167,,,,6,,,,,6
P01020747003,LIFTER P7,,,,8,,,,,
P01010252005,MANTO 3' STD SYMON,,,1,,,,,,1
P01010252008,MANTO 4' STD SYMON,,,5,,,,,,5
P01010252001,MANTO CHANCADOR TDK 900,,,,2,,,,,2
P01010252017,MANTO HP200,,,,1,,,,,1
P01010252016,MANTO HP4800 S48/40,,,,4,,,,,4
P01010252012,MANTO PYD 900,,,,2,,,,,2
P01010254005,MUELA FIJA 250x1200,,,,2,,,,,2
P01010254022,MUELA MOVIL PEX 250x1200,,,,1,,,,,1
P01096455001,PARRILLA DESCARGA,,,,5,,,,,5
P01096455001,PARRILLA DESCARGA,,,,5,,,,,5
P01020890265,Placa CF-05 OP (Proy 48),,,,1,,,,,1
P01020890266,Placa CF-06 MO (Proy 48),,,,,,,,,0
P01020890267,Placa CF-06 OP (Proy 48),,,,,2,,,,2
P02043190001,Placa CF-08  (Proy 28),,,,2,,,,,2
P02043190002,Placa CF-09  (Proy 28),,,,1,,,,,1
P01020860010,PLACA DE DESGASTE 97 X 394 X 45 A2006,,,,9,,,,,9
P01020860011,PLACA DE DESGASTE TALON A1003,,,,10,,,,,10
P01020860029,PLACA DESGASTE  3A (Proy Los Colorados),,,,26,,,,,26
P01020860039,PLACA DESGASTE B6 (Proy Los Colorados),,,,11,,,,,11
P01010160002,PLACA PRI 1315,,,2,,,,,,2
P01010160006,PLACA PRS 1315,,,2,,,,,,2
P01043160001,PLACAPL9 (LP9),,,,56,,,,,56
P01020766001,PROTECTOR TAPA CANICA ER 36 A,,,1,,,,,,1
P01020766001,PROTECTOR TAPA CANICA ER 36 A,,,,9,,,,,9
P01020890429,Revestimiento RF-09 MO (Proy 212),,,,2,,,,,2
P01020890430,Revestimiento RF-09 OP (Proy 212),,,,2,,,,,2
